num_individuals,num_neighbors,num_facts,starting_knowledge,investigation_probability,philosophy,truth_mean,truth_total,false_mean,false_total
8,8,16,15,0.0,skeptical,0.6915404040404041,53,0.30845959595959593,25
8,8,16,15,0.0,skeptical,0.4523042929292929,34,0.547695707070707,44
8,8,16,15,0.0,skeptical,0.6765734265734266,53,0.32342657342657344,29
8,8,16,15,0.0,skeptical,0.4972853535353536,36,0.5027146464646464,37
8,8,16,15,0.0,skeptical,0.48983585858585865,40,0.5101641414141413,43
8,8,16,15,0.0,skeptical,0.46150446775446774,35,0.5384955322455323,47
8,8,16,15,0.0,skeptical,0.5066919191919192,44,0.4933080808080808,42
8,8,16,15,0.0,skeptical,0.7007575757575757,56,0.29924242424242425,25
8,8,16,15,0.0,skeptical,0.6471906565656566,50,0.3528093434343434,29
8,8,16,15,0.0,skeptical,0.7212752525252525,54,0.27872474747474746,22
8,8,16,15,0.0,reid,0.6015625,77,0.3984375,51
8,8,16,15,0.0,reid,0.6171875,79,0.3828125,49
8,8,16,15,0.0,reid,0.6015625,77,0.3984375,51
8,8,16,15,0.0,reid,0.734375,94,0.265625,34
8,8,16,15,0.0,reid,0.4765625,61,0.5234375,67
8,8,16,15,0.0,reid,0.5390625,69,0.4609375,59
8,8,16,15,0.0,reid,0.625,80,0.375,48
8,8,16,15,0.0,reid,0.46875,60,0.53125,68
8,8,16,15,0.0,reid,0.5390625,69,0.4609375,59
8,8,16,15,0.0,reid,0.3828125,49,0.6171875,79
8,8,16,15,0.0,direct,0.4765625,61,0.5234375,67
8,8,16,15,0.0,direct,0.6171875,79,0.3828125,49
8,8,16,15,0.0,direct,0.6796875,87,0.3203125,41
8,8,16,15,0.0,direct,0.5666666666666667,68,0.43333333333333335,52
8,8,16,15,0.0,direct,0.75,96,0.25,32
8,8,16,15,0.0,direct,0.65625,84,0.34375,44
8,8,16,15,0.0,direct,0.5546875,71,0.4453125,57
8,8,16,15,0.0,direct,0.7265625,93,0.2734375,35
8,8,16,15,0.0,direct,0.453125,58,0.546875,70
8,8,16,15,0.0,direct,0.578125,74,0.421875,54
8,8,16,15,0.0,indirect,0.675,81,0.325,39
8,8,16,15,0.0,indirect,0.8828125,113,0.1171875,15
8,8,16,15,0.0,indirect,0.7109375,91,0.2890625,37
8,8,16,15,0.0,indirect,0.5,64,0.5,64
8,8,16,15,0.0,indirect,0.5546875,71,0.4453125,57
8,8,16,15,0.0,indirect,0.6796875,87,0.3203125,41
8,8,16,15,0.0,indirect,0.53125,68,0.46875,60
8,8,16,15,0.0,indirect,0.8359375,107,0.1640625,21
8,8,16,15,0.0,indirect,0.6796875,87,0.3203125,41
8,8,16,15,0.0,indirect,0.5390625,69,0.4609375,59
8,8,16,15,0.2,skeptical,0.6609848484848484,55,0.3390151515151515,25
8,8,16,15,0.2,skeptical,0.6399305555555557,54,0.3600694444444445,28
8,8,16,15,0.2,skeptical,0.7041035353535354,57,0.29589646464646463,26
8,8,16,15,0.2,skeptical,0.5205808080808081,39,0.4794191919191919,39
8,8,16,15,0.2,skeptical,0.6632017288267289,53,0.33679827117327116,29
8,8,16,15,0.2,skeptical,0.6034090909090909,50,0.3965909090909091,33
8,8,16,15,0.2,skeptical,0.5336344211344212,47,0.4663655788655789,39
8,8,16,15,0.2,skeptical,0.6791666666666666,53,0.32083333333333336,27
8,8,16,15,0.2,skeptical,0.8064393939393939,61,0.19356060606060604,14
8,8,16,15,0.2,skeptical,0.5678075396825397,40,0.4321924603174603,31
8,8,16,15,0.2,reid,0.6953125,89,0.3046875,39
8,8,16,15,0.2,reid,0.6015625,77,0.3984375,51
8,8,16,15,0.2,reid,0.4609375,59,0.5390625,69
8,8,16,15,0.2,reid,0.671875,86,0.328125,42
8,8,16,15,0.2,reid,0.640625,82,0.359375,46
8,8,16,15,0.2,reid,0.734375,94,0.265625,34
8,8,16,15,0.2,reid,0.765625,98,0.234375,30
8,8,16,15,0.2,reid,0.5859375,75,0.4140625,53
8,8,16,15,0.2,reid,0.6015625,77,0.3984375,51
8,8,16,15,0.2,reid,0.6640625,85,0.3359375,43
8,8,16,15,0.2,direct,0.6484375,83,0.3515625,45
8,8,16,15,0.2,direct,0.8203125,105,0.1796875,23
8,8,16,15,0.2,direct,0.5859375,75,0.4140625,53
8,8,16,15,0.2,direct,0.515625,66,0.484375,62
8,8,16,15,0.2,direct,0.78125,100,0.21875,28
8,8,16,15,0.2,direct,0.546875,70,0.453125,58
8,8,16,15,0.2,direct,0.5625,72,0.4375,56
8,8,16,15,0.2,direct,0.640625,82,0.359375,46
8,8,16,15,0.2,direct,0.640625,82,0.359375,46
8,8,16,15,0.2,direct,0.6484375,83,0.3515625,45
8,8,16,15,0.2,indirect,0.7734375,99,0.2265625,29
8,8,16,15,0.2,indirect,0.5625,72,0.4375,56
8,8,16,15,0.2,indirect,0.6328125,81,0.3671875,47
8,8,16,15,0.2,indirect,0.7421875,95,0.2578125,33
8,8,16,15,0.2,indirect,0.6484375,83,0.3515625,45
8,8,16,15,0.2,indirect,0.4765625,61,0.5234375,67
8,8,16,15,0.2,indirect,0.6875,88,0.3125,40
8,8,16,15,0.2,indirect,0.5,64,0.5,64
8,8,16,15,0.2,indirect,0.578125,74,0.421875,54
8,8,16,15,0.2,indirect,0.625,80,0.375,48
